species,bird_group,United_Kingdom,Vietnam,Australia,New_Zealand,Indonesia,Malaysia,Thailand,Spain,Comments,Image_link,Favourites
Eurasian Kestrel,Birds of Prey,TRUE,,,,,,,,,https://www.woodlandtrust.org.uk/media/3759/kestrel-hovering-alamyegknf1-david-chapman.jpg?center=0.51851851851851849,0.52719665271966532&mode=crop&heightratio=0.5622047244094488188976377953&width=647&rnd=132078456230000000,
Eurasian Skylark,,TRUE,,,,,,,TRUE,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/311380331/1800,
Eurasian Sparrowhawk,Birds of Prey,TRUE,,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/254927951/1800,
Eurasian Teal,Ducks Geese and Swans,TRUE,,,,,,,,,https://cdn.forumcomm.com/dims4/default/4fe9c23/2147483647/strip/true/crop/4680x3510+0+0/resize/1421x1066!/quality/90/?url=https%3A%2F%2Ffcc-cue-exports-brightspot.s3.us-west-2.amazonaws.com%2Fbemidjipioneer%2Fbinary%2Fanimal-4646309_binary_7177604.jpg,
Eurasian Wren,,TRUE,,,,,,,,,https://www.arkwildlife.co.uk/wp-content/uploads/2013/08/Wren.jpg,
European Goldfinch,Sparrows and Finches,TRUE,,,,,,,TRUE,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Carduelis_carduelis_close_up.jpg/800px-Carduelis_carduelis_close_up.jpg,
European Robin,,TRUE,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f3/Erithacus_rubecula_with_cocked_head.jpg,
European Shag,Cormorants and Shags,TRUE,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/63/Shag_Phalacrocorax_aristotelis.jpg,
Fan Tailed Cuckoo,,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/122298341/1800,TRUE
Fieldfare,Corvids Starlings and Thrushes,TRUE,,,,,,,,,https://base-prod.rspb-prod.magnolia-platform.com/dam/jcr:f4c504a5-3f7c-4beb-907c-52df91f2fb5a/2020730270-Species-Fieldfare-eating-berries-on-a-hawthorn.jpg,
Firecrest,,TRUE,,,,,,,,,,
Fluttering Shearwater,,,,,TRUE,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/116476711/1800,
Forest Kingfisher,Kingfishers,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/121682041/1800,
Fork Tailed Swift,Hirundines,,,,,TRUE,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/142837391/1800,
Fulmar,Gulls and Terns,TRUE,,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/297628611/1800,
Gadwall,Ducks Geese and Swans,TRUE,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9a/Gadwall-Anas-strepera.jpg,
Galah,Parrots and Cockatoos etc,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/122706091/1800,
Gannet,,TRUE,,,,,,,,,https://cdn.britannica.com/73/115373-050-C38C3434/gannet.jpg,
Garganey,Ducks Geese and Swans,TRUE,,,,,,,,,https://base-prod.rspb-prod.magnolia-platform.com/dam/jcr:f31ce172-f6d3-4cb2-862f-3aaf11c599ad/1070587454-Species-Garganey-MALE-Swimming-on-water.jpg,
Glossy Ibis,Waders,TRUE,,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/308505331/1800,
Goldcrest,,TRUE,,,,,,,,,https://voice.gardenbird.co.uk/wp-content/uploads/2017/03/Goldcrest-feature.jpg,
Golden Headed Cisticola,,,,,,TRUE,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/300207401/1800,
Golden Plover,Waders,TRUE,,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/46039241/1800,
Goldeneye,Ducks Geese and Swans,TRUE,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/34/Common_Goldeneye_%28Bucephala_clangula%29.jpg,
Goosander,Ducks Geese and Swans,TRUE,,,,,,,,,https://base-prod.rspb-prod.magnolia-platform.com/dam/jcr:d7124a6f-f1e5-4920-a013-1706961918c7/1510945289-Species-Goosander-MALE-Swimming-on-water.jpg,
Great Black Backed Gull,Gulls and Terns,TRUE,,,,,,,,,https://base-prod.rspb-prod.magnolia-platform.com/dam/jcr:7f0f052c-016a-4f66-9e5a-28f4641f2f1f/235882981-Species-Great-Black-Backed-Gull-ADULT-Stood-on-rock.jpg,
Great Crested Grebe,Ducks Geese and Swans,TRUE,,,,,,,,,https://base-prod.rspb-prod.magnolia-platform.com/dam/jcr:86cd99f6-b2ad-4e89-9552-0679de5ad8dd/2254571241-Species-Great-Crested-Grebe-WINTER-Swimming.jpg,
Great Egret,Herons and Egrets,TRUE,,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/70610211/1800,
Great Iora,,,,,,,,TRUE,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/177809201/1800,
